Commodity_Description,Year,Attribute_Description,Country_Code,Country_Name,Value,Unit_Description
"Almonds, Shelled Basis",2021,Domestic Consumption,MY,Malaysia,5000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,NO,Norway,4500,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,NZ,New Zealand,4000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,PE,Peru,4000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,PK,Pakistan,7000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,RS,Russia,9000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,SA,Saudi Arabia,13000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,SF,South Africa,4000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,SZ,Switzerland,11000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,TC,United Arab Emirates,60000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,TH,Thailand,6500,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,TU,Turkey,30800,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,TW,Taiwan,6500,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,UK,United Kingdom,24000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,UP,Ukraine,4000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,US,United States,390907,(MT)
"Almonds, Shelled Basis",2021,Exports,AS,Australia,90000,(MT)
"Almonds, Shelled Basis",2021,Exports,CI,Chile,6000,(MT)
"Almonds, Shelled Basis",2021,Exports,E4,European Union,20000,(MT)
"Almonds, Shelled Basis",2021,Exports,TU,Turkey,17000,(MT)
"Almonds, Shelled Basis",2021,Exports,US,United States,965000,(MT)
"Almonds, Shelled Basis",2021,Imports,AG,Algeria,5000,(MT)
"Almonds, Shelled Basis",2021,Imports,AR,Argentina,4000,(MT)
"Almonds, Shelled Basis",2021,Imports,AS,Australia,2000,(MT)
"Almonds, Shelled Basis",2021,Imports,BO,Belarus,3000,(MT)
"Almonds, Shelled Basis",2021,Imports,BR,Brazil,5000,(MT)
"Almonds, Shelled Basis",2021,Imports,CA,Canada,33000,(MT)
"Almonds, Shelled Basis",2021,Imports,CH,China,120000,(MT)
"Almonds, Shelled Basis",2021,Imports,CI,Chile,5500,(MT)
"Almonds, Shelled Basis",2021,Imports,CO,Colombia,3000,(MT)
"Almonds, Shelled Basis",2021,Imports,E4,European Union,315000,(MT)
"Almonds, Shelled Basis",2021,Imports,EG,Egypt,2000,(MT)
"Almonds, Shelled Basis",2021,Imports,HK,Hong Kong,5000,(MT)
"Almonds, Shelled Basis",2021,Imports,ID,Indonesia,3000,(MT)
"Almonds, Shelled Basis",2021,Imports,IN,India,130000,(MT)
"Almonds, Shelled Basis",2021,Imports,IS,Israel,8000,(MT)
"Almonds, Shelled Basis",2021,Imports,JA,Japan,40000,(MT)
"Almonds, Shelled Basis",2021,Imports,JO,Jordan,7000,(MT)
"Almonds, Shelled Basis",2021,Imports,KS,"Korea, South",38000,(MT)
"Almonds, Shelled Basis",2021,Imports,KZ,Kazakhstan,18000,(MT)
"Almonds, Shelled Basis",2021,Imports,MO,Morocco,30000,(MT)
"Almonds, Shelled Basis",2021,Imports,MX,Mexico,12500,(MT)
"Almonds, Shelled Basis",2021,Imports,MY,Malaysia,5000,(MT)
"Almonds, Shelled Basis",2021,Imports,NO,Norway,4500,(MT)
"Almonds, Shelled Basis",2021,Imports,NZ,New Zealand,4000,(MT)
"Almonds, Shelled Basis",2021,Imports,PE,Peru,4000,(MT)
"Almonds, Shelled Basis",2021,Imports,PK,Pakistan,7000,(MT)
"Almonds, Shelled Basis",2021,Imports,RS,Russia,9000,(MT)
"Almonds, Shelled Basis",2021,Imports,SA,Saudi Arabia,13000,(MT)
"Almonds, Shelled Basis",2021,Imports,SF,South Africa,4000,(MT)
"Almonds, Shelled Basis",2021,Imports,SZ,Switzerland,11000,(MT)
"Almonds, Shelled Basis",2021,Imports,TC,United Arab Emirates,60000,(MT)
"Almonds, Shelled Basis",2021,Imports,TH,Thailand,6500,(MT)
"Almonds, Shelled Basis",2021,Imports,TU,Turkey,30000,(MT)
"Almonds, Shelled Basis",2021,Imports,TW,Taiwan,6500,(MT)
"Almonds, Shelled Basis",2021,Imports,UK,United Kingdom,24000,(MT)
"Almonds, Shelled Basis",2021,Imports,UP,Ukraine,4000,(MT)
"Almonds, Shelled Basis",2021,Imports,US,United States,10000,(MT)
"Almonds, Shelled Basis",2021,Production,AS,Australia,145000,(MT)
"Almonds, Shelled Basis",2021,Production,CH,China,45000,(MT)
"Almonds, Shelled Basis",2021,Production,CI,Chile,9700,(MT)
"Almonds, Shelled Basis",2021,Production,E4,European Union,123645,(MT)
"Almonds, Shelled Basis",2021,Production,IN,India,4500,(MT)
"Almonds, Shelled Basis",2021,Production,TU,Turkey,18000,(MT)
"Almonds, Shelled Basis",2021,Production,US,United States,1270060,(MT)
"Apples, Fresh",1998,Domestic Consumption,AR,Argentina,1148170,(MT)
"Apples, Fresh",1998,Domestic Consumption,AS,Australia,307598,(MT)
"Apples, Fresh",1998,Domestic Consumption,AU,Austria,404000,(MT)
"Apples, Fresh",1998,Domestic Consumption,BE,Belgium-Luxembourg,322740,(MT)
"Apples, Fresh",1998,Domestic Consumption,BR,Brazil,790434,(MT)
"Apples, Fresh",1998,Domestic Consumption,BU,Bulgaria,133000,(MT)
"Apples, Fresh",1998,Domestic Consumption,CA,Canada,563380,(MT)
"Apples, Fresh",1998,Domestic Consumption,CH,China,19326720,(MT)
"Apples, Fresh",1998,Domestic Consumption,CH,"China, Peoples Republic of",18209700,(MT)
"Apples, Fresh",1998,Domestic Consumption,CI,Chile,488463,(MT)
"Apples, Fresh",1998,Domestic Consumption,DA,Denmark,109655,(MT)
"Apples, Fresh",1998,Domestic Consumption,FR,France,1217300,(MT)
"Apples, Fresh",1998,Domestic Consumption,GM,Germany,2547306,(MT)
"Apples, Fresh",1998,Domestic Consumption,GR,Greece,288100,(MT)
"Apples, Fresh",1998,Domestic Consumption,HU,Hungary,486000,(MT)
"Apples, Fresh",1998,Domestic Consumption,IT,Italy,1743000,(MT)
"Apples, Fresh",1998,Domestic Consumption,JA,Japan,876666,(MT)
"Apples, Fresh",1998,Domestic Consumption,LO,Slovakia,111000,(MT)
"Apples, Fresh",1998,Domestic Consumption,MX,Mexico,503965,(MT)
"Apples, Fresh",1998,Domestic Consumption,NL,Netherlands,398988,(MT)
"Apples, Fresh",1998,Domestic Consumption,NO,Norway,65439,(MT)
"Apples, Fresh",1998,Domestic Consumption,NZ,New Zealand,213192,(MT)
"Apples, Fresh",1998,Domestic Consumption,PL,Poland,1564300,(MT)
"Apples, Fresh",1998,Domestic Consumption,RO,Romania,417800,(MT)
"Apples, Fresh",1998,Domestic Consumption,RS,Russia,1315000,(MT)
"Apples, Fresh",1998,Domestic Consumption,RS,Russian Federation,640000,(MT)
"Apples, Fresh",1998,Domestic Consumption,SF,South Africa,424183,(MT)
"Apples, Fresh",1998,Domestic Consumption,SF,"South Africa, Republic of",221113,(MT)
"Apples, Fresh",1998,Domestic Consumption,SP,Spain,848700,(MT)
"Apples, Fresh",1998,Domestic Consumption,SW,Sweden,146782,(MT)
"Apples, Fresh",1998,Domestic Consumption,TU,Turkey,2440385,(MT)
"Apples, Fresh",1998,Domestic Consumption,TW,Taiwan,158045,(MT)
"Apples, Fresh",1998,Domestic Consumption,UK,United Kingdom,642700,(MT)
"Apples, Fresh",1998,Domestic Consumption,US,United States,4363099,(MT)
"Apples, Fresh",1998,Domestic Consumption,YU,Yugoslavia (>05/92),165300,(MT)
"Apples, Fresh",1998,Exports,AR,Argentina,179723,(MT)
"Apples, Fresh",1998,Exports,AS,Australia,26402,(MT)
"Apples, Fresh",1998,Exports,AU,Austria,59000,(MT)
"Apples, Fresh",1998,Exports,BE,Belgium-Luxembourg,313917,(MT)
"Apples, Fresh",1998,Exports,BR,Brazil,57449,(MT)
"Apples, Fresh",1998,Exports,BU,Bulgaria,78,(MT)
"Apples, Fresh",1998,Exports,CA,Canada,80000,(MT)
"Apples, Fresh",1998,Exports,CH,China,181000,(MT)
"Apples, Fresh",1998,Exports,CH,"China, Peoples Republic of",181000,(MT)
"Apples, Fresh",1998,Exports,CI,Chile,522000,(MT)
"Apples, Fresh",1998,Exports,DA,Denmark,1711,(MT)
"Apples, Fresh",1998,Exports,FR,France,630600,(MT)
"Apples, Fresh",1998,Exports,GM,Germany,65473,(MT)
"Apples, Fresh",1998,Exports,GR,Greece,13900,(MT)
"Apples, Fresh",1998,Exports,HU,Hungary,4000,(MT)
"Apples, Fresh",1998,Exports,IT,Italy,520000,(MT)
"Apples, Fresh",1998,Exports,JA,Japan,2684,(MT)
"Apples, Fresh",1998,Exports,LO,Slovakia,2200,(MT)
"Apples, Fresh",1998,Exports,NL,Netherlands,338956,(MT)
"Apples, Fresh",1998,Exports,NZ,New Zealand,314287,(MT)
"Apples, Fresh",1998,Exports,PL,Poland,143000,(MT)
"Apples, Fresh",1998,Exports,RO,Romania,70000,(MT)
"Apples, Fresh",1998,Exports,RS,Russia,800,(MT)
"Apples, Fresh",1998,Exports,RS,Russian Federation,800,(MT)
"Apples, Fresh",1998,Exports,SF,South Africa,250817,(MT)
"Apples, Fresh",1998,Exports,SF,"South Africa, Republic of",250817,(MT)
"Apples, Fresh",1998,Exports,SP,Spain,63700,(MT)
"Apples, Fresh",1998,Exports,SW,Sweden,1239,(MT)
"Apples, Fresh",1998,Exports,TU,Turkey,14481,(MT)
"Apples, Fresh",1998,Exports,UK,United Kingdom,19600,(MT)
"Apples, Fresh",1998,Exports,US,United States,674868,(MT)
"Apples, Fresh",1998,Imports,AR,Argentina,11858,(MT)
"Apples, Fresh",1998,Imports,AU,Austria,170000,(MT)
"Apples, Fresh",1998,Imports,BE,Belgium-Luxembourg,232277,(MT)
"Apples, Fresh",1998,Imports,BR,Brazil,66453,(MT)
"Apples, Fresh",1998,Imports,BU,Bulgaria,10000,(MT)
"Apples, Fresh",1998,Imports,CA,Canada,120000,(MT)
"Apples, Fresh",1998,Imports,CH,China,27000,(MT)
"Apples, Fresh",1998,Imports,CH,"China, Peoples Republic of",27000,(MT)
"Apples, Fresh",1998,Imports,CI,Chile,203,(MT)
"Apples, Fresh",1998,Imports,DA,Denmark,47366,(MT)
"Apples, Fresh",1998,Imports,FR,France,104000,(MT)
"Apples, Fresh",1998,Imports,GM,Germany,641021,(MT)
"Apples, Fresh",1998,Imports,GR,Greece,11000,(MT)
"Apples, Fresh",1998,Imports,HU,Hungary,8000,(MT)
"Apples, Fresh",1998,Imports,IT,Italy,20000,(MT)
"Apples, Fresh",1998,Imports,JA,Japan,250,(MT)
"Apples, Fresh",1998,Imports,LO,Slovakia,30400,(MT)
"Apples, Fresh",1998,Imports,MX,Mexico,133721,(MT)
"Apples, Fresh",1998,Imports,NL,Netherlands,235944,(MT)
"Apples, Fresh",1998,Imports,NO,Norway,38874,(MT)
"Apples, Fresh",1998,Imports,NZ,New Zealand,95,(MT)
"Apples, Fresh",1998,Imports,PL,Poland,20300,(MT)
"Apples, Fresh",1998,Imports,RO,Romania,3800,(MT)
"Apples, Fresh",1998,Imports,RS,Russia,175000,(MT)
"Apples, Fresh",1998,Imports,RS,Russian Federation,175000,(MT)
"Apples, Fresh",1998,Imports,SP,Spain,210800,(MT)
"Apples, Fresh",1998,Imports,SW,Sweden,87421,(MT)
"Apples, Fresh",1998,Imports,TU,Turkey,4866,(MT)
"Apples, Fresh",1998,Imports,TW,Taiwan,148264,(MT)
"Apples, Fresh",1998,Imports,UK,United Kingdom,460000,(MT)
"Apples, Fresh",1998,Imports,US,United States,156129,(MT)
"Apples, Fresh",1998,Production,AR,Argentina,1316035,(MT)
"Apples, Fresh",1998,Production,AS,Australia,334000,(MT)
"Apples, Fresh",1998,Production,AU,Austria,442300,(MT)
"Apples, Fresh",1998,Production,BE,Belgium-Luxembourg,417246,(MT)
"Apples, Fresh",1998,Production,BR,Brazil,781430,(MT)
"Apples, Fresh",1998,Production,BU,Bulgaria,130000,(MT)
"Apples, Fresh",1998,Production,CA,Canada,523380,(MT)
"Apples, Fresh",1998,Production,CH,China,19480720,(MT)
"Apples, Fresh",1998,Production,CH,"China, Peoples Republic of",19480720,(MT)
"Apples, Fresh",1998,Production,CI,Chile,1010000,(MT)
"Apples, Fresh",1998,Production,DA,Denmark,64000,(MT)
"Apples, Fresh",1998,Production,FR,France,1793900,(MT)
"Apples, Fresh",1998,Production,GM,Germany,1980000,(MT)
"Apples, Fresh",1998,Production,GR,Greece,332000,(MT)
"Apples, Fresh",1998,Production,HU,Hungary,482000,(MT)
"Apples, Fresh",1998,Production,IT,Italy,2243000,(MT)
"Apples, Fresh",1998,Production,JA,Japan,879100,(MT)
"Apples, Fresh",1998,Production,LO,Slovakia,83500,(MT)
"Apples, Fresh",1998,Production,MX,Mexico,370244,(MT)
"Apples, Fresh",1998,Production,NL,Netherlands,507000,(MT)
"Apples, Fresh",1998,Production,NO,Norway,42648,(MT)
"Apples, Fresh",1998,Production,NZ,New Zealand,527384,(MT)
"Apples, Fresh",1998,Production,PL,Poland,1687000,(MT)
"Apples, Fresh",1998,Production,RO,Romania,490000,(MT)
"Apples, Fresh",1998,Production,RS,Russia,1249400,(MT)
"Apples, Fresh",1998,Production,RS,Russian Federation,1249400,(MT)
"Apples, Fresh",1998,Production,SF,South Africa,675000,(MT)
"Apples, Fresh",1998,Production,SF,"South Africa, Republic of",675000,(MT)
"Apples, Fresh",1998,Production,SP,Spain,721600,(MT)
"Apples, Fresh",1998,Production,SW,Sweden,60600,(MT)
"Apples, Fresh",1998,Production,TU,Turkey,2450000,(MT)
"Apples, Fresh",1998,Production,TW,Taiwan,9781,(MT)
"Apples, Fresh",1998,Production,UK,United Kingdom,202500,(MT)
"Apples, Fresh",1998,Production,US,United States,5282724,(MT)
"Apples, Fresh",1998,Production,YU,Yugoslavia (>05/92),165300,(MT)
"Apples, Fresh",2021,Domestic Consumption,AF,Afghanistan,160000,(MT)
"Apples, Fresh",2021,Domestic Consumption,AG,Algeria,1000,(MT)
"Apples, Fresh",2021,Domestic Consumption,AJ,Azerbaijan,212700,(MT)
"Apples, Fresh",2021,Domestic Consumption,AL,Albania,8000,(MT)
"Apples, Fresh",2021,Domestic Consumption,AO,Angola,5000,(MT)
"Apples, Fresh",2021,Domestic Consumption,AR,Argentina,471000,(MT)
"Apples, Fresh",2021,Domestic Consumption,AS,Australia,300800,(MT)
"Apples, Fresh",2021,Domestic Consumption,BG,Bangladesh,250000,(MT)
"Apples, Fresh",2021,Domestic Consumption,BK,Bosnia and Herzegovina,25000,(MT)
"Apples, Fresh",2021,Domestic Consumption,BM,Burma,30000,(MT)
"Apples, Fresh",2021,Domestic Consumption,BO,Belarus,426700,(MT)
"Apples, Fresh",2021,Domestic Consumption,BR,Brazil,1213000,(MT)
"Apples, Fresh",2021,Domestic Consumption,CA,Canada,505000,(MT)
"Apples, Fresh",2021,Domestic Consumption,CE,Sri Lanka,20000,(MT)
"Apples, Fresh",2021,Domestic Consumption,CH,China,44060000,(MT)
"Apples, Fresh",2021,Domestic Consumption,CI,Chile,458000,(MT)
"Apples, Fresh",2021,Domestic Consumption,CO,Colombia,105100,(MT)
"Apples, Fresh",2021,Domestic Consumption,CS,Costa Rica,17000,(MT)
"Apples, Fresh",2021,Domestic Consumption,DR,Dominican Republic,20000,(MT)
"Apples, Fresh",2021,Domestic Consumption,E4,European Union,11172050,(MT)
"Apples, Fresh",2021,Domestic Consumption,EC,Ecuador,60000,(MT)
"Apples, Fresh",2021,Domestic Consumption,EG,Egypt,300000,(MT)
"Apples, Fresh",2021,Domestic Consumption,GT,Guatemala,50100,(MT)
"Apples, Fresh",2021,Domestic Consumption,HK,Hong Kong,130000,(MT)
"Apples, Fresh",2021,Domestic Consumption,HO,Honduras,10000,(MT)
"Apples, Fresh",2021,Domestic Consumption,ID,Indonesia,195000,(MT)
"Apples, Fresh",2021,Domestic Consumption,IN,India,2579500,(MT)
"Apples, Fresh",2021,Domestic Consumption,IR,Iran,1281100,(MT)
"Apples, Fresh",2021,Domestic Consumption,IS,Israel,40000,(MT)
"Apples, Fresh",2021,Domestic Consumption,IZ,Iraq,415000,(MT)
"Apples, Fresh",2021,Domestic Consumption,JA,Japan,676600,(MT)
"Apples, Fresh",2021,Domestic Consumption,JO,Jordan,50000,(MT)
"Apples, Fresh",2021,Domestic Consumption,KG,Kyrgyzstan,155200,(MT)
"Apples, Fresh",2021,Domestic Consumption,KU,Kuwait,20000,(MT)
"Apples, Fresh",2021,Domestic Consumption,KZ,Kazakhstan,316500,(MT)
"Apples, Fresh",2021,Domestic Consumption,LY,Libya,45000,(MT)
"Apples, Fresh",2021,Domestic Consumption,MD,Moldova,410900,(MT)
"Apples, Fresh",2021,Domestic Consumption,MU,Oman,20000,(MT)
"Apples, Fresh",2021,Domestic Consumption,MX,Mexico,1028849,(MT)
"Apples, Fresh",2021,Domestic Consumption,MY,Malaysia,105000,(MT)
"Apples, Fresh",2021,Domestic Consumption,NI,Nigeria,40000,(MT)
"Apples, Fresh",2021,Domestic Consumption,NO,Norway,58600,(MT)
"Apples, Fresh",2021,Domestic Consumption,NP,Nepal,80000,(MT)
"Apples, Fresh",2021,Domestic Consumption,NZ,New Zealand,198500,(MT)
"Apples, Fresh",2021,Domestic Consumption,PE,Peru,40000,(MT)
"Apples, Fresh",2021,Domestic Consumption,PK,Pakistan,45000,(MT)
"Apples, Fresh",2021,Domestic Consumption,QA,Qatar,25000,(MT)
"Apples, Fresh",2021,Domestic Consumption,RB,Serbia,364600,(MT)
"Apples, Fresh",2021,Domestic Consumption,RH,Zimbabwe,12000,(MT)
"Apples, Fresh",2021,Domestic Consumption,RP,Philippines,185000,(MT)
"Apples, Fresh",2021,Domestic Consumption,RS,Russia,2155000,(MT)
"Apples, Fresh",2021,Domestic Consumption,SA,Saudi Arabia,180000,(MT)
"Apples, Fresh",2021,Domestic Consumption,SF,South Africa,432200,(MT)
"Apples, Fresh",2021,Domestic Consumption,SN,Singapore,41000,(MT)
"Apples, Fresh",2021,Domestic Consumption,SY,Syria,50000,(MT)
"Apples, Fresh",2021,Domestic Consumption,TC,United Arab Emirates,175000,(MT)
"Apples, Fresh",2021,Domestic Consumption,TH,Thailand,175000,(MT)
"Apples, Fresh",2021,Domestic Consumption,TU,Turkey,3987000,(MT)
"Apples, Fresh",2021,Domestic Consumption,TW,Taiwan,121000,(MT)
"Apples, Fresh",2021,Domestic Consumption,TX,Turkmenistan,40000,(MT)
"Apples, Fresh",2021,Domestic Consumption,UK,United Kingdom,350000,(MT)
"Apples, Fresh",2021,Domestic Consumption,UP,Ukraine,1159000,(MT)
"Apples, Fresh",2021,Domestic Consumption,US,United States,3952646,(MT)
"Apples, Fresh",2021,Domestic Consumption,UY,Uruguay,39500,(MT)
"Apples, Fresh",2021,Domestic Consumption,VE,Venezuela,3000,(MT)
"Apples, Fresh",2021,Domestic Consumption,VM,Vietnam,280000,(MT)
"Apples, Fresh",2021,Domestic Consumption,ZA,Zambia,8000,(MT)
"Apples, Fresh",2021,Exports,AJ,Azerbaijan,80000,(MT)
"Apples, Fresh",2021,Exports,AR,Argentina,100000,(MT)
"Apples, Fresh",2021,Exports,AS,Australia,2000,(MT)
"Apples, Fresh",2021,Exports,BO,Belarus,35000,(MT)
"Apples, Fresh",2021,Exports,BR,Brazil,90000,(MT)
"Apples, Fresh",2021,Exports,CA,Canada,35000,(MT)
"Apples, Fresh",2021,Exports,CH,China,1000000,(MT)
"Apples, Fresh",2021,Exports,CI,Chile,635000,(MT)
"Apples, Fresh",2021,Exports,E4,European Union,1060000,(MT)
"Apples, Fresh",2021,Exports,GT,Guatemala,200,(MT)
"Apples, Fresh",2021,Exports,HK,Hong Kong,35000,(MT)
"Apples, Fresh",2021,Exports,IN,India,32000,(MT)
"Apples, Fresh",2021,Exports,IR,Iran,960000,(MT)
"Apples, Fresh",2021,Exports,JA,Japan,33000,(MT)
"Apples, Fresh",2021,Exports,KG,Kyrgyzstan,2000,(MT)
"Apples, Fresh",2021,Exports,MD,Moldova,200000,(MT)
"Apples, Fresh",2021,Exports,MX,Mexico,900,(MT)
"Apples, Fresh",2021,Exports,NZ,New Zealand,380000,(MT)
"Apples, Fresh",2021,Exports,RB,Serbia,160000,(MT)
"Apples, Fresh",2021,Exports,RS,Russia,15000,(MT)
"Apples, Fresh",2021,Exports,SF,South Africa,565000,(MT)
"Apples, Fresh",2021,Exports,SN,Singapore,4000,(MT)
"Apples, Fresh",2021,Exports,TU,Turkey,300000,(MT)
"Apples, Fresh",2021,Exports,UP,Ukraine,15000,(MT)
"Apples, Fresh",2021,Exports,US,United States,785000,(MT)
"Apples, Fresh",2021,Exports,UY,Uruguay,3000,(MT)
"Apples, Fresh",2021,Imports,AF,Afghanistan,160000,(MT)
"Apples, Fresh",2021,Imports,AG,Algeria,1000,(MT)
"Apples, Fresh",2021,Imports,AL,Albania,8000,(MT)
"Apples, Fresh",2021,Imports,AO,Angola,5000,(MT)
"Apples, Fresh",2021,Imports,AR,Argentina,1000,(MT)
"Apples, Fresh",2021,Imports,AS,Australia,1000,(MT)
"Apples, Fresh",2021,Imports,BG,Bangladesh,250000,(MT)
"Apples, Fresh",2021,Imports,BK,Bosnia and Herzegovina,25000,(MT)
"Apples, Fresh",2021,Imports,BM,Burma,30000,(MT)
"Apples, Fresh",2021,Imports,BO,Belarus,125000,(MT)
"Apples, Fresh",2021,Imports,BR,Brazil,80000,(MT)
"Apples, Fresh",2021,Imports,CA,Canada,185000,(MT)
"Apples, Fresh",2021,Imports,CE,Sri Lanka,20000,(MT)
"Apples, Fresh",2021,Imports,CH,China,60000,(MT)
"Apples, Fresh",2021,Imports,CI,Chile,3000,(MT)
"Apples, Fresh",2021,Imports,CO,Colombia,100000,(MT)
"Apples, Fresh",2021,Imports,CS,Costa Rica,17000,(MT)
"Apples, Fresh",2021,Imports,DR,Dominican Republic,20000,(MT)
"Apples, Fresh",2021,Imports,E4,European Union,355000,(MT)
"Apples, Fresh",2021,Imports,EC,Ecuador,60000,(MT)
"Apples, Fresh",2021,Imports,EG,Egypt,300000,(MT)
"Apples, Fresh",2021,Imports,GT,Guatemala,25000,(MT)
"Apples, Fresh",2021,Imports,HK,Hong Kong,165000,(MT)
"Apples, Fresh",2021,Imports,HO,Honduras,10000,(MT)
"Apples, Fresh",2021,Imports,ID,Indonesia,195000,(MT)
"Apples, Fresh",2021,Imports,IN,India,450000,(MT)
"Apples, Fresh",2021,Imports,IS,Israel,40000,(MT)
"Apples, Fresh",2021,Imports,IZ,Iraq,415000,(MT)
"Apples, Fresh",2021,Imports,JA,Japan,8000,(MT)
"Apples, Fresh",2021,Imports,JO,Jordan,50000,(MT)
"Apples, Fresh",2021,Imports,KG,Kyrgyzstan,6000,(MT)
"Apples, Fresh",2021,Imports,KU,Kuwait,20000,(MT)
"Apples, Fresh",2021,Imports,KZ,Kazakhstan,100000,(MT)
"Apples, Fresh",2021,Imports,LY,Libya,45000,(MT)
"Apples, Fresh",2021,Imports,MU,Oman,20000,(MT)
"Apples, Fresh",2021,Imports,MX,Mexico,250000,(MT)
"Apples, Fresh",2021,Imports,MY,Malaysia,105000,(MT)
"Apples, Fresh",2021,Imports,NI,Nigeria,40000,(MT)
"Apples, Fresh",2021,Imports,NO,Norway,43000,(MT)
"Apples, Fresh",2021,Imports,NP,Nepal,80000,(MT)
"Apples, Fresh",2021,Imports,NZ,New Zealand,500,(MT)
"Apples, Fresh",2021,Imports,PE,Peru,40000,(MT)
"Apples, Fresh",2021,Imports,PK,Pakistan,45000,(MT)
"Apples, Fresh",2021,Imports,QA,Qatar,25000,(MT)
"Apples, Fresh",2021,Imports,RB,Serbia,25000,(MT)
"Apples, Fresh",2021,Imports,RH,Zimbabwe,12000,(MT)
"Apples, Fresh",2021,Imports,RP,Philippines,185000,(MT)
"Apples, Fresh",2021,Imports,RS,Russia,630000,(MT)
"Apples, Fresh",2021,Imports,SA,Saudi Arabia,180000,(MT)
"Apples, Fresh",2021,Imports,SF,South Africa,200,(MT)
