"","Commodity_Description","Year","Value","Country_Code","Country_Name","Attribute_Description","Unit_Description"
"63","Rye",2000,213000,"US","United States","Production","(MT)"
"64","Rye",2001,175000,"US","United States","Production","(MT)"
"65","Rye",2002,165000,"US","United States","Production","(MT)"
"66","Rye",2003,219000,"US","United States","Production","(MT)"
"67","Rye",2004,210000,"US","United States","Production","(MT)"
"68","Rye",2005,191000,"US","United States","Production","(MT)"
"69","Rye",2006,183000,"US","United States","Production","(MT)"
"70","Rye",2007,206000,"US","United States","Production","(MT)"
"71","Rye",2008,211000,"US","United States","Production","(MT)"
"72","Rye",2009,191000,"US","United States","Production","(MT)"
"73","Rye",2010,190000,"US","United States","Production","(MT)"
"74","Rye",2011,170000,"US","United States","Production","(MT)"
"75","Rye",2012,192000,"US","United States","Production","(MT)"
"76","Sorghum",1998,13207000,"US","United States","Production","(MT)"
"77","Sorghum",1999,15118000,"US","United States","Production","(MT)"
"78","Sorghum",2000,11952000,"US","United States","Production","(MT)"
"79","Sorghum",2001,13057000,"US","United States","Production","(MT)"
"80","Sorghum",2002,9163000,"US","United States","Production","(MT)"
"81","Sorghum",2003,10446000,"US","United States","Production","(MT)"
"82","Sorghum",2004,11523000,"US","United States","Production","(MT)"
"83","Sorghum",2005,10005000,"US","United States","Production","(MT)"
"84","Sorghum",2006,7738000,"US","United States","Production","(MT)"
"85","Sorghum",2007,13073000,"US","United States","Production","(MT)"
"86","Sorghum",2008,12087000,"US","United States","Production","(MT)"
"87","Sorghum",2009,9896000,"US","United States","Production","(MT)"
"88","Sorghum",2010,9740000,"US","United States","Production","(MT)"
"89","Sorghum",2011,8128000,"US","United States","Production","(MT)"
"90","Sorghum",2012,8636000,"US","United States","Production","(MT)"
"91","Wheat",1998,69327000,"US","United States","Production","(MT)"
"92","Wheat",1999,62475000,"US","United States","Production","(MT)"
"93","Wheat",2000,60641000,"US","United States","Production","(MT)"
"94","Wheat",2001,53001000,"US","United States","Production","(MT)"
"95","Wheat",2002,43705000,"US","United States","Production","(MT)"
"96","Wheat",2003,63814000,"US","United States","Production","(MT)"
"97","Wheat",2004,58738000,"US","United States","Production","(MT)"
"98","Wheat",2005,57280000,"US","United States","Production","(MT)"
"99","Wheat",2006,49316000,"US","United States","Production","(MT)"
"100","Wheat",2007,59156000,"US","United States","Production","(MT)"
"101","Wheat",2008,68363000,"US","United States","Production","(MT)"
"102","Wheat",2009,60423000,"US","United States","Production","(MT)"
"103","Wheat",2010,61641000,"US","United States","Production","(MT)"
"104","Wheat",2011,57319000,"US","United States","Production","(MT)"
"105","Wheat",2012,61755000,"US","United States","Production","(MT)"
