Commodity_Description,Year,Value,Country_Code,Country_Name,Attribute_Description,Unit_Description
"Apples, Fresh",2020,4671000,US,United States,Production,(MT)
"Apples, Fresh",2021,4607646,US,United States,Production,(MT)
Barley,1998,235884000,US,United States,Production,(MT)
Barley,1999,361362000,US,United States,Production,(MT)
Barley,2000,303700000,US,United States,Production,(MT)
Barley,2001,376488000,US,United States,Production,(MT)
Barley,2002,494416000,US,United States,Production,(MT)
Barley,2003,458582000,US,United States,Production,(MT)
Barley,2004,462664000,US,United States,Production,(MT)
Barley,2005,387186000,US,United States,Production,(MT)
Barley,2006,5282724000,US,United States,Production,(MT)
Barley,2007,4780600000,US,United States,Production,(MT)
Barley,2008,5683040000,US,United States,Production,(MT)
Barley,2009,5261960000,US,United States,Production,(MT)
Barley,2010,4102967000,US,United States,Production,(MT)
Barley,2011,4327180000,US,United States,Production,(MT)
Barley,2012,4403565000,US,United States,Production,(MT)
Barley,2013,639570000,US,United States,Production,(MT)
Barley,2014,4227000000,US,United States,Production,(MT)
Barley,2015,4693276000,US,United States,Production,(MT)
Barley,2016,4044503000,US,United States,Production,(MT)
Barley,2017,4673318000,US,United States,Production,(MT)
Barley,2018,4231474000,US,United States,Production,(MT)
Barley,2019,848220000,US,United States,Production,(MT)
Barley,2020,848220000,US,United States,Production,(MT)
Barley,2021,99473000,US,United States,Production,(MT)
"Coffee, Green",1998,14153040,US,United States,Production,(MT)
"Coffee, Green",1999,21681720,US,United States,Production,(MT)
"Coffee, Green",2000,18222000,US,United States,Production,(MT)
"Coffee, Green",2001,22589280,US,United States,Production,(MT)
"Coffee, Green",2002,268606500000,US,United States,Production,(MT)
"Coffee, Green",2003,27759840000,US,United States,Production,(MT)
"Coffee, Green",2004,23231160000,US,United States,Production,(MT)
"Coffee, Green",2005,21681720000,US,United States,Production,(MT)
"Coffee, Green",2006,316963440000,US,United States,Production,(MT)
"Coffee, Green",2007,288041160000,US,United States,Production,(MT)
"Coffee, Green",2008,256452240000,US,United States,Production,(MT)
"Coffee, Green",2009,231982740000,US,United States,Production,(MT)
"Coffee, Green",2010,239308980000,US,United States,Production,(MT)
"Coffee, Green",2011,284418720000,US,United States,Production,(MT)
"Coffee, Green",2012,16727820000,US,United States,Production,(MT)
"Coffee, Green",2013,4280040000,US,United States,Production,(MT)
"Coffee, Green",2014,14872920000,US,United States,Production,(MT)
"Coffee, Green",2015,4628400000,US,United States,Production,(MT)
"Coffee, Green",2016,577920000,US,United States,Production,(MT)
"Coffee, Green",2017,558720000,US,United States,Production,(MT)
"Coffee, Green",2018,501300000,US,United States,Production,(MT)
"Coffee, Green",2019,514320000,US,United States,Production,(MT)
"Coffee, Green",2020,526860000,US,United States,Production,(MT)
"Coffee, Green",2021,549300000,US,United States,Production,(MT)
"Coffee, Green",2022,42600000,US,United States,Production,(MT)
Corn,1998,4822010000,US,United States,Production,(MT)
Corn,1999,4800686000,US,United States,Production,(MT)
Corn,2000,4274204000,US,United States,Production,(MT)
Corn,2001,3866379000,US,United States,Production,(MT)
Corn,2002,3988483000,US,United States,Production,(MT)
Corn,2003,4740312000,US,United States,Production,(MT)
Corn,2004,4476775000,US,United States,Production,(MT)
Corn,2005,4734966000,US,United States,Production,(MT)
Corn,2006,4473878000,US,United States,Production,(MT)
Corn,2007,4408118000,US,United States,Production,(MT)
Corn,2008,5351610000,US,United States,Production,(MT)
Corn,2009,4881838000,US,United States,Production,(MT)
Corn,2010,4738501000,US,United States,Production,(MT)
Corn,2011,4358750000,US,United States,Production,(MT)
Corn,2012,743900000,US,United States,Production,(MT)
Corn,2013,884500000,US,United States,Production,(MT)
Corn,2014,911720000,US,United States,Production,(MT)
Corn,2015,4520911000,US,United States,Production,(MT)
Corn,2016,816470000,US,United States,Production,(MT)
Corn,2017,5079465000,US,United States,Production,(MT)
Corn,2018,4690101000,US,United States,Production,(MT)
Corn,2019,4690101000,US,United States,Production,(MT)
Corn,2020,4520684000,US,United States,Production,(MT)
Corn,2021,4912089000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",1998,326151000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",1999,77534000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2000,332092000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2001,305319000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2002,83581000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2003,8782000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2004,9331000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2005,9247000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2006,361091000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2007,345486000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2008,4710106000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2009,4177266000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2010,3798467000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2011,3942665000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2012,276700000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2013,457221000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2014,418212000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2015,450871000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2016,446335000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2017,857290000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2018,911720000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2019,848220000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2020,861830000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2021,345506000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2022,351272000,US,United States,Production,(MT)
"Grapefruit, Fresh",1998,185000,US,United States,Production,(MT)
"Grapefruit, Fresh",1999,183000,US,United States,Production,(MT)
"Grapefruit, Fresh",2000,163000,US,United States,Production,(MT)
"Grapefruit, Fresh",2001,163000,US,United States,Production,(MT)
"Grapefruit, Fresh",2002,186000,US,United States,Production,(MT)
"Grapefruit, Fresh",2003,146000,US,United States,Production,(MT)
"Grapefruit, Fresh",2004,4463810000,US,United States,Production,(MT)
"Grapefruit, Fresh",2005,8781000,US,United States,Production,(MT)
"Grapefruit, Fresh",2006,9392000,US,United States,Production,(MT)
"Grapefruit, Fresh",2007,329059000,US,United States,Production,(MT)
"Grapefruit, Fresh",2008,4686927000,US,United States,Production,(MT)
"Grapefruit, Fresh",2009,4339653000,US,United States,Production,(MT)
"Grapefruit, Fresh",2010,4413590000,US,United States,Production,(MT)
"Grapefruit, Fresh",2011,333011000,US,United States,Production,(MT)
"Grapefruit, Fresh",2012,316165000,US,United States,Production,(MT)
"Grapefruit, Fresh",2013,93123000,US,United States,Production,(MT)
"Grapefruit, Fresh",2014,272432000,US,United States,Production,(MT)
"Grapefruit, Fresh",2015,10331000,US,United States,Production,(MT)
"Grapefruit, Fresh",2016,929860000,US,United States,Production,(MT)
"Grapefruit, Fresh",2017,361091000,US,United States,Production,(MT)
"Grapefruit, Fresh",2018,384778000,US,United States,Production,(MT)
"Grapefruit, Fresh",2019,360302000,US,United States,Production,(MT)
"Grapefruit, Fresh",2020,10525000,US,United States,Production,(MT)
"Grapefruit, Fresh",2021,10368000,US,United States,Production,(MT)
"Meat, Swine",1998,4740312000000,US,United States,Production,(MT)
"Meat, Swine",1999,4476775000000,US,United States,Production,(MT)
"Meat, Swine",2000,239549000000,US,United States,Production,(MT)
"Meat, Swine",2001,251854000000,US,United States,Production,(MT)
"Meat, Swine",2002,387186000000,US,United States,Production,(MT)
"Meat, Swine",2003,5282724000000,US,United States,Production,(MT)
"Meat, Swine",2004,303700000000,US,United States,Production,(MT)
"Meat, Swine",2005,4822010000000,US,United States,Production,(MT)
"Meat, Swine",2006,4800686000000,US,United States,Production,(MT)
"Meat, Swine",2007,4274204000000,US,United States,Production,(MT)
"Meat, Swine",2008,3866379000000,US,United States,Production,(MT)
"Meat, Swine",2009,3988483000000,US,United States,Production,(MT)
"Meat, Swine",2010,216816000000,US,United States,Production,(MT)
"Meat, Swine",2011,276690000000,US,United States,Production,(MT)
"Meat, Swine",2012,288041160000,US,United States,Production,(MT)
"Meat, Swine",2013,4463810000000,US,United States,Production,(MT)
"Meat, Swine",2014,294834000000,US,United States,Production,(MT)
"Meat, Swine",2015,308440000000,US,United States,Production,(MT)
"Meat, Swine",2016,277005000000,US,United States,Production,(MT)
"Meat, Swine",2017,9250000000,US,United States,Production,(MT)
"Meat, Swine",2018,4734966000000,US,United States,Production,(MT)
"Meat, Swine",2019,4473878000000,US,United States,Production,(MT)
"Meat, Swine",2020,282260000000,US,United States,Production,(MT)
"Meat, Swine",2021,9147000000,US,United States,Production,(MT)
"Meat, Swine",2022,3920000000,US,United States,Production,(MT)
Oats,1998,247882000,US,United States,Production,(MT)
Oats,1999,239549000,US,United States,Production,(MT)
Oats,2000,251854000,US,United States,Production,(MT)
Oats,2001,241377000,US,United States,Production,(MT)
Oats,2002,227767000,US,United States,Production,(MT)
Oats,2003,256278000,US,United States,Production,(MT)
Oats,2004,299914000,US,United States,Production,(MT)
Oats,2005,282260000,US,United States,Production,(MT)
Oats,2006,295741000,US,United States,Production,(MT)
Oats,2007,4567846000,US,United States,Production,(MT)
Oats,2008,4154195000,US,United States,Production,(MT)
Oats,2009,5746060000,US,United States,Production,(MT)
Oats,2010,4417800000,US,United States,Production,(MT)
Oats,2011,639570000,US,United States,Production,(MT)
Oats,2012,471700000,US,United States,Production,(MT)
Oats,2013,4287898000,US,United States,Production,(MT)
Oats,2014,415037000,US,United States,Production,(MT)
Oats,2015,739356000,US,United States,Production,(MT)
Oats,2016,639565000,US,United States,Production,(MT)
Oats,2017,361091000,US,United States,Production,(MT)
Oats,2018,5074793000,US,United States,Production,(MT)
Oats,2019,547030000,US,United States,Production,(MT)
Oats,2020,4649323000,US,United States,Production,(MT)
Oats,2021,4653000000,US,United States,Production,(MT)
"Oil, Soybean",1998,4176508000,US,United States,Production,(MT)
"Oil, Soybean",1999,3797778000,US,United States,Production,(MT)
"Oil, Soybean",2000,3946939000,US,United States,Production,(MT)
"Oil, Soybean",2001,4354875000,US,United States,Production,(MT)
"Oil, Soybean",2002,4433333000,US,United States,Production,(MT)
"Oil, Soybean",2003,4113333000,US,United States,Production,(MT)
"Oil, Soybean",2004,4287885000,US,United States,Production,(MT)
"Oil, Soybean",2005,4183484000,US,United States,Production,(MT)
"Oil, Soybean",2006,4227338000,US,United States,Production,(MT)
"Oil, Soybean",2007,415040000,US,United States,Production,(MT)
"Oil, Soybean",2008,748430000,US,United States,Production,(MT)
"Oil, Soybean",2009,5675890000,US,United States,Production,(MT)
"Oil, Soybean",2010,4505000000,US,United States,Production,(MT)
"Oil, Soybean",2011,4175497000,US,United States,Production,(MT)
"Oil, Soybean",2012,4183525000,US,United States,Production,(MT)
"Oil, Soybean",2013,4279917000,US,United States,Production,(MT)
"Oil, Soybean",2014,4323508000,US,United States,Production,(MT)
"Oil, Soybean",2015,911720000,US,United States,Production,(MT)
"Oil, Soybean",2016,920793000,US,United States,Production,(MT)
"Oil, Soybean",2017,4561000000,US,United States,Production,(MT)
"Oil, Soybean",2018,920793000,US,United States,Production,(MT)
"Oil, Soybean",2019,4048993000,US,United States,Production,(MT)
"Oil, Soybean",2020,4690101000,US,United States,Production,(MT)
"Oil, Soybean",2021,384778000,US,United States,Production,(MT)
"Oilseed, Rapeseed",1998,5214000,US,United States,Production,(MT)
"Oilseed, Rapeseed",1999,662250000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2000,307386000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2001,312180000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2002,332092000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2003,306652000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2004,508020000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2005,80286000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2006,630490000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2007,680400000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2008,332092000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2009,5065060000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2010,4224307000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2011,4200000000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2012,4686927000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2013,4231474000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2014,4048993000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2015,639565000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2016,4327136000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2017,4877197000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2018,5066991000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2019,4501633000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2020,4649323000,US,United States,Production,(MT)
"Oilseed, Rapeseed",2021,370960000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",1998,8758000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",1999,8596000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2000,8700000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2001,8929000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2002,9056000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2003,9312000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2004,9392000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2005,9632000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2006,334476000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2007,3797778000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2008,3946939000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2009,71333000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2010,73749000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2011,75927000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2012,74993000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2013,2592000,US,United States,Production,(MT)
"Poultry, Meat, Turkey",2014,3392000,US,United States,Production,(MT)
Rye,1998,2114000,US,United States,Production,(MT)
Rye,1999,2165000,US,United States,Production,(MT)
Rye,2000,1707000,US,United States,Production,(MT)
Rye,2001,1684000,US,United States,Production,(MT)
Rye,2002,2096000,US,United States,Production,(MT)
Rye,2003,332092000,US,United States,Production,(MT)
Rye,2004,9335000,US,United States,Production,(MT)
Rye,2005,458582000,US,United States,Production,(MT)
Rye,2006,4699002000,US,United States,Production,(MT)
Rye,2007,4354875000,US,United States,Production,(MT)
Rye,2008,332092000,US,United States,Production,(MT)
Rye,2009,4605810000,US,United States,Production,(MT)
Rye,2010,395530000,US,United States,Production,(MT)
Rye,2011,4339653000,US,United States,Production,(MT)
Rye,2012,4413590000,US,United States,Production,(MT)
Rye,2013,471740000,US,United States,Production,(MT)
Rye,2014,316165000,US,United States,Production,(MT)
Rye,2015,4287885000,US,United States,Production,(MT)
Rye,2016,4231474000,US,United States,Production,(MT)
Rye,2017,4048993000,US,United States,Production,(MT)
Rye,2018,929860000,US,United States,Production,(MT)
Rye,2019,857290000,US,United States,Production,(MT)
Rye,2020,911720000,US,United States,Production,(MT)
Rye,2021,356632000,US,United States,Production,(MT)
"Walnuts, Inshell Basis",1998,205931,US,United States,Production,(MT)
"Walnuts, Inshell Basis",1999,256734,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2000,216816,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2001,276700,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2002,255825,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2003,295741,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2004,294834,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2005,322100,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2006,317515,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2007,297600,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2008,395533,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2009,396440,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2010,462660,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2011,440000,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2012,450871,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2013,449057,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2014,518003,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2015,549754,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2016,625050,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2017,589670,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2018,625958,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2019,594206,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2020,712140,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2021,607814,US,United States,Production,(MT)
