Commodity_Description,Year,Value,Country_Code,Country_Name,Attribute_Description,Unit_Description
"Apples, Fresh",2020,4671000,US,United States,Production,(MT)
"Apples, Fresh",2021,4607646,US,United States,Production,(MT)
Barley,1998,235884000,US,United States,Production,(MT)
Barley,1999,361362000,US,United States,Production,(MT)
Barley,2000,303700000,US,United States,Production,(MT)
Barley,2001,376488000,US,United States,Production,(MT)
Barley,2002,494416000,US,United States,Production,(MT)
Barley,2003,458582000,US,United States,Production,(MT)
Barley,2004,462664000,US,United States,Production,(MT)
Barley,2005,4734966000,US,United States,Production,(MT)
Barley,2006,5282724000,US,United States,Production,(MT)
Barley,2007,5683040000,US,United States,Production,(MT)
Barley,2008,5261960000,US,United States,Production,(MT)
Barley,2009,5351610000,US,United States,Production,(MT)
Barley,2010,4339653000,US,United States,Production,(MT)
Barley,2011,4403565000,US,United States,Production,(MT)
Barley,2012,4227346000,US,United States,Production,(MT)
Barley,2013,920800000,US,United States,Production,(MT)
Barley,2014,4227000000,US,United States,Production,(MT)
Barley,2015,4178948000,US,United States,Production,(MT)
Barley,2016,4226575000,US,United States,Production,(MT)
Barley,2017,4323508000,US,United States,Production,(MT)
Barley,2018,920793000,US,United States,Production,(MT)
Barley,2019,857290000,US,United States,Production,(MT)
Barley,2020,920793000,US,United States,Production,(MT)
Barley,2021,4690101000,US,United States,Production,(MT)
"Coffee, Green",1998,14153040,US,United States,Production,(MT)
"Coffee, Green",1999,21681720,US,United States,Production,(MT)
"Coffee, Green",2000,18222000,US,United States,Production,(MT)
"Coffee, Green",2001,22589280,US,United States,Production,(MT)
"Coffee, Green",2002,268606500000,US,United States,Production,(MT)
"Coffee, Green",2003,27759840000,US,United States,Production,(MT)
"Coffee, Green",2004,23231160000,US,United States,Production,(MT)
"Coffee, Green",2005,21681720000,US,United States,Production,(MT)
"Coffee, Green",2006,316963440000,US,United States,Production,(MT)
"Coffee, Green",2007,288041160000,US,United States,Production,(MT)
"Coffee, Green",2008,256452240000,US,United States,Production,(MT)
"Coffee, Green",2009,231982740000,US,United States,Production,(MT)
"Coffee, Green",2010,239308980000,US,United States,Production,(MT)
"Coffee, Green",2011,284418720000,US,United States,Production,(MT)
"Coffee, Green",2012,16727820000,US,United States,Production,(MT)
"Coffee, Green",2013,4280040000,US,United States,Production,(MT)
"Coffee, Green",2014,14872920000,US,United States,Production,(MT)
"Coffee, Green",2015,4628400000,US,United States,Production,(MT)
"Coffee, Green",2016,577920000,US,United States,Production,(MT)
"Coffee, Green",2017,558720000,US,United States,Production,(MT)
"Coffee, Green",2018,126840000,US,United States,Production,(MT)
"Coffee, Green",2019,284097960,US,United States,Production,(MT)
"Coffee, Green",2020,268432680,US,United States,Production,(MT)
"Coffee, Green",2021,267828600,US,United States,Production,(MT)
Corn,1998,4822010000,US,United States,Production,(MT)
Corn,1999,4800686000,US,United States,Production,(MT)
Corn,2000,4274204000,US,United States,Production,(MT)
Corn,2001,3866379000,US,United States,Production,(MT)
Corn,2002,3988483000,US,United States,Production,(MT)
Corn,2003,4740312000,US,United States,Production,(MT)
Corn,2004,4476775000,US,United States,Production,(MT)
Corn,2005,4463810000,US,United States,Production,(MT)
Corn,2006,4460544000,US,United States,Production,(MT)
Corn,2007,508020000,US,United States,Production,(MT)
Corn,2008,4102967000,US,United States,Production,(MT)
Corn,2009,4508344000,US,United States,Production,(MT)
Corn,2010,4881838000,US,United States,Production,(MT)
Corn,2011,4417800000,US,United States,Production,(MT)
Corn,2012,396400000,US,United States,Production,(MT)
Corn,2013,508023000,US,United States,Production,(MT)
Corn,2014,920793000,US,United States,Production,(MT)
Corn,2015,4044503000,US,United States,Production,(MT)
Corn,2016,4520911000,US,United States,Production,(MT)
Corn,2017,911720000,US,United States,Production,(MT)
Corn,2018,848220000,US,United States,Production,(MT)
Corn,2019,4520684000,US,United States,Production,(MT)
Corn,2020,4912089000,US,United States,Production,(MT)
Corn,2021,4653000000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",1998,332092000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",1999,305319000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2000,326151000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2001,294800000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2002,322100000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2003,315810000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2004,297600000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2005,395533000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2006,396440000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2007,457221000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2008,4388869000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2009,4505000000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2010,449057000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2011,247882000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2012,446335000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2013,518003000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2014,549754000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2015,622329000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2016,4175319000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2017,367680000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2018,857290000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2019,911720000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2020,848220000,US,United States,Production,(MT)
"Dairy, Milk, Fluid",2021,361091000,US,United States,Production,(MT)
"Grapefruit, Fresh",1998,185000,US,United States,Production,(MT)
"Grapefruit, Fresh",1999,183000,US,United States,Production,(MT)
"Grapefruit, Fresh",2000,163000,US,United States,Production,(MT)
"Grapefruit, Fresh",2001,163000,US,United States,Production,(MT)
"Grapefruit, Fresh",2002,186000,US,United States,Production,(MT)
"Grapefruit, Fresh",2003,146000,US,United States,Production,(MT)
"Grapefruit, Fresh",2004,9294000,US,United States,Production,(MT)
"Grapefruit, Fresh",2005,1679000,US,United States,Production,(MT)
"Grapefruit, Fresh",2006,267598000,US,United States,Production,(MT)
"Grapefruit, Fresh",2007,338295000,US,United States,Production,(MT)
"Grapefruit, Fresh",2008,307386000,US,United States,Production,(MT)
"Grapefruit, Fresh",2009,4287898000,US,United States,Production,(MT)
"Grapefruit, Fresh",2010,4175497000,US,United States,Production,(MT)
"Grapefruit, Fresh",2011,9962000,US,United States,Production,(MT)
"Grapefruit, Fresh",2012,273832000,US,United States,Production,(MT)
"Grapefruit, Fresh",2013,4279917000,US,United States,Production,(MT)
"Grapefruit, Fresh",2014,272432000,US,United States,Production,(MT)
"Grapefruit, Fresh",2015,273832000,US,United States,Production,(MT)
"Grapefruit, Fresh",2016,861830000,US,United States,Production,(MT)
"Grapefruit, Fresh",2017,929860000,US,United States,Production,(MT)
"Grapefruit, Fresh",2018,273192000,US,United States,Production,(MT)
"Grapefruit, Fresh",2019,384778000,US,United States,Production,(MT)
"Grapefruit, Fresh",2020,10260000,US,United States,Production,(MT)
"Grapefruit, Fresh",2021,958000,US,United States,Production,(MT)
"Meat, Swine",1998,4740312000000,US,United States,Production,(MT)
"Meat, Swine",1999,4476775000000,US,United States,Production,(MT)
"Meat, Swine",2000,239549000000,US,United States,Production,(MT)
"Meat, Swine",2001,251854000000,US,United States,Production,(MT)
"Meat, Swine",2002,387186000000,US,United States,Production,(MT)
"Meat, Swine",2003,5282724000000,US,United States,Production,(MT)
"Meat, Swine",2004,303700000000,US,United States,Production,(MT)
"Meat, Swine",2005,4822010000000,US,United States,Production,(MT)
"Meat, Swine",2006,4800686000000,US,United States,Production,(MT)
"Meat, Swine",2007,4274204000000,US,United States,Production,(MT)
"Meat, Swine",2008,3866379000000,US,United States,Production,(MT)
"Meat, Swine",2009,3988483000000,US,United States,Production,(MT)
"Meat, Swine",2010,272931000000,US,United States,Production,(MT)
"Meat, Swine",2011,247882000000,US,United States,Production,(MT)
"Meat, Swine",2012,282260000000,US,United States,Production,(MT)
"Meat, Swine",2013,277005000000,US,United States,Production,(MT)
"Meat, Swine",2014,282311000000,US,United States,Production,(MT)
"Meat, Swine",2015,295741000000,US,United States,Production,(MT)
"Meat, Swine",2016,294834000000,US,United States,Production,(MT)
"Meat, Swine",2017,4734966000000,US,United States,Production,(MT)
"Meat, Swine",2018,4473878000000,US,United States,Production,(MT)
"Meat, Swine",2019,4463810000000,US,United States,Production,(MT)
"Meat, Swine",2020,231982740000,US,United States,Production,(MT)
"Meat, Swine",2021,282311000000,US,United States,Production,(MT)
Oats,1998,247882000,US,United States,Production,(MT)
Oats,1999,239549000,US,United States,Production,(MT)
Oats,2000,251854000,US,United States,Production,(MT)
Oats,2001,241377000,US,United States,Production,(MT)
Oats,2002,227767000,US,United States,Production,(MT)
Oats,2003,256278000,US,United States,Production,(MT)
Oats,2004,299914000,US,United States,Production,(MT)
Oats,2005,282260000,US,United States,Production,(MT)
Oats,2006,278797000,US,United States,Production,(MT)
Oats,2007,340200000,US,United States,Production,(MT)
Oats,2008,4880952000,US,United States,Production,(MT)
Oats,2009,5746060000,US,United States,Production,(MT)
Oats,2010,4738501000,US,United States,Production,(MT)
Oats,2011,333011000,US,United States,Production,(MT)
Oats,2012,333011000,US,United States,Production,(MT)
Oats,2013,456300000,US,United States,Production,(MT)
Oats,2014,639565000,US,United States,Production,(MT)
Oats,2015,743891000,US,United States,Production,(MT)
Oats,2016,4175319000,US,United States,Production,(MT)
Oats,2017,4231474000,US,United States,Production,(MT)
Oats,2018,4231474000,US,United States,Production,(MT)
Oats,2019,920793000,US,United States,Production,(MT)
Oats,2020,848220000,US,United States,Production,(MT)
Oats,2021,4653000000,US,United States,Production,(MT)
"Oil, Rapeseed",1998,3797778000,US,United States,Production,(MT)
"Oil, Rapeseed",1999,3946939000,US,United States,Production,(MT)
"Oil, Rapeseed",2000,4354875000,US,United States,Production,(MT)
"Oil, Rapeseed",2001,4433333000,US,United States,Production,(MT)
"Oil, Rapeseed",2002,4113333000,US,United States,Production,(MT)
"Oil, Rapeseed",2003,4101899000,US,United States,Production,(MT)
"Oil, Rapeseed",2004,77535000,US,United States,Production,(MT)
"Oil, Rapeseed",2005,332092000,US,United States,Production,(MT)
"Oil, Rapeseed",2006,4154195000,US,United States,Production,(MT)
"Oil, Rapeseed",2007,625960000,US,United States,Production,(MT)
"Oil, Rapeseed",2008,5675890000,US,United States,Production,(MT)
"Oil, Rapeseed",2009,5065060000,US,United States,Production,(MT)
"Oil, Rapeseed",2010,4177266000,US,United States,Production,(MT)
"Oil, Rapeseed",2011,395530000,US,United States,Production,(MT)
"Oil, Rapeseed",2012,440000000,US,United States,Production,(MT)
"Oil, Rapeseed",2013,920793000,US,United States,Production,(MT)
"Oil, Rapeseed",2014,4174412000,US,United States,Production,(MT)
"Oil, Rapeseed",2015,839146000,US,United States,Production,(MT)
"Oil, Rapeseed",2016,4231474000,US,United States,Production,(MT)
"Oil, Rapeseed",2017,4673318000,US,United States,Production,(MT)
"Oil, Rapeseed",2018,4690101000,US,United States,Production,(MT)
"Oil, Rapeseed",2019,4048993000,US,United States,Production,(MT)
"Oil, Rapeseed",2020,4690101000,US,United States,Production,(MT)
"Oil, Rapeseed",2021,384778000,US,United States,Production,(MT)
"Oil, Soybean",1998,256229000,US,United States,Production,(MT)
"Oil, Soybean",1999,299876000,US,United States,Production,(MT)
"Oil, Soybean",2000,282263000,US,United States,Production,(MT)
"Oil, Soybean",2001,267503000,US,United States,Production,(MT)
"Oil, Soybean",2002,331177000,US,United States,Production,(MT)
"Oil, Soybean",2003,630490000,US,United States,Production,(MT)
"Oil, Soybean",2004,494416000,US,United States,Production,(MT)
"Oil, Soybean",2005,680400000,US,United States,Production,(MT)
"Oil, Soybean",2006,462664000,US,United States,Production,(MT)
"Oil, Soybean",2007,415037000,US,United States,Production,(MT)
"Oil, Soybean",2008,333011000,US,United States,Production,(MT)
"Oil, Soybean",2009,4605810000,US,United States,Production,(MT)
"Oil, Soybean",2010,4287885000,US,United States,Production,(MT)
"Oil, Soybean",2011,4686927000,US,United States,Production,(MT)
"Oil, Soybean",2012,4339653000,US,United States,Production,(MT)
"Oil, Soybean",2013,4877197000,US,United States,Production,(MT)
"Oil, Soybean",2014,630500000,US,United States,Production,(MT)
"Oil, Soybean",2015,4693276000,US,United States,Production,(MT)
"Oil, Soybean",2016,5079465000,US,United States,Production,(MT)
"Oil, Soybean",2017,5074793000,US,United States,Production,(MT)
"Oil, Soybean",2018,4561000000,US,United States,Production,(MT)
"Oil, Soybean",2019,5066991000,US,United States,Production,(MT)
"Oil, Soybean",2020,4501633000,US,United States,Production,(MT)
"Oil, Soybean",2021,96343000,US,United States,Production,(MT)
Rye,1998,8758000,US,United States,Production,(MT)
Rye,1999,8596000,US,United States,Production,(MT)
Rye,2000,8691000,US,United States,Production,(MT)
Rye,2001,8929000,US,United States,Production,(MT)
Rye,2002,9056000,US,United States,Production,(MT)
Rye,2003,11001000,US,United States,Production,(MT)
Rye,2004,9392000,US,United States,Production,(MT)
Rye,2005,496684000,US,United States,Production,(MT)
Rye,2006,3797778000,US,United States,Production,(MT)
Rye,2007,4408118000,US,United States,Production,(MT)
Rye,2008,313949000,US,United States,Production,(MT)
Rye,2009,4780600000,US,United States,Production,(MT)
Rye,2010,4686927000,US,United States,Production,(MT)
Rye,2011,4413590000,US,United States,Production,(MT)
Rye,2012,4287898000,US,United States,Production,(MT)
Rye,2013,4183525000,US,United States,Production,(MT)
Rye,2014,743900000,US,United States,Production,(MT)
Rye,2015,4327136000,US,United States,Production,(MT)
Rye,2016,4287885000,US,United States,Production,(MT)
Rye,2017,418212000,US,United States,Production,(MT)
Rye,2018,929860000,US,United States,Production,(MT)
Rye,2019,743891000,US,United States,Production,(MT)
Rye,2020,4649323000,US,United States,Production,(MT)
Rye,2021,97840000,US,United States,Production,(MT)
"Walnuts, Inshell Basis",1998,205931,US,United States,Production,(MT)
"Walnuts, Inshell Basis",1999,256734,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2000,216816,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2001,276700,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2002,255825,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2003,295741,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2004,294834,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2005,322100,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2006,317515,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2007,297600,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2008,395533,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2009,396440,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2010,462660,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2011,440000,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2012,450871,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2013,449057,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2014,518003,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2015,549754,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2016,625050,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2017,589670,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2018,625958,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2019,594206,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2020,712140,US,United States,Production,(MT)
"Walnuts, Inshell Basis",2021,607814,US,United States,Production,(MT)
