,Commodity_Description,Year,Country_Code,Attribute_Description,Unit_Description,Value
101,"Meat, Beef and Veal",2009,US,Production,(1000 MT CWE),12203.0
102,"Meat, Beef and Veal",2010,US,Production,(1000 MT CWE),12048.0
103,"Meat, Beef and Veal",2011,US,Production,(1000 MT CWE),12048.0
104,"Meat, Beef and Veal",2012,US,Production,(1000 MT CWE),11855.0
105,"Meat, Chicken",1999,US,Production,(MT),13618000.0
106,"Meat, Chicken",2000,US,Production,(MT),13943000.0
107,"Meat, Chicken",2001,US,Production,(MT),14267000.0
108,"Meat, Chicken",2002,US,Production,(MT),14715000.0
109,"Meat, Chicken",2003,US,Production,(MT),14924000.0
110,"Meat, Chicken",2004,US,Production,(MT),15514000.0
111,"Meat, Chicken",2005,US,Production,(MT),16104000.0
112,"Meat, Chicken",2006,US,Production,(MT),16159000.0
113,"Meat, Chicken",2007,US,Production,(MT),16452000.0
114,"Meat, Chicken",2008,US,Production,(MT),16815000.0
115,"Meat, Chicken",2009,US,Production,(MT),16162000.0
116,"Meat, Chicken",2010,US,Production,(MT),16791000.0
117,"Meat, Chicken",2011,US,Production,(MT),16931000.0
118,"Meat, Chicken",2012,US,Production,(MT),16856000.0
119,"Meat, Swine",1998,US,Production,(1000 MT CWE),8623.0
120,"Meat, Swine",1999,US,Production,(1000 MT CWE),8758.0
121,"Meat, Swine",2000,US,Production,(1000 MT CWE),8596.0
122,"Meat, Swine",2001,US,Production,(1000 MT CWE),8691.0
123,"Meat, Swine",2002,US,Production,(1000 MT CWE),8929.0
124,"Meat, Swine",2003,US,Production,(1000 MT CWE),9056.0
125,"Meat, Swine",2004,US,Production,(1000 MT CWE),9313.0
126,"Meat, Swine",2005,US,Production,(1000 MT CWE),9392.0
127,"Meat, Swine",2006,US,Production,(1000 MT CWE),9632.0
128,"Meat, Swine",2007,US,Production,(1000 MT CWE),9962.0
129,"Meat, Swine",2008,US,Production,(1000 MT CWE),10684.0
130,"Meat, Swine",2009,US,Production,(1000 MT CWE),10507.0
131,"Meat, Swine",2010,US,Production,(1000 MT CWE),10187.0
132,"Meat, Swine",2011,US,Production,(1000 MT CWE),10332.0
133,"Meat, Swine",2012,US,Production,(1000 MT CWE),10575.0
149,"Poultry, Meat, Turkey",1998,US,Production,(MT),2365000.0
150,"Poultry, Meat, Turkey",1999,US,Production,(MT),2372000.0
151,"Poultry, Meat, Turkey",2000,US,Production,(MT),2419000.0
152,"Poultry, Meat, Turkey",2001,US,Production,(MT),2490000.0
153,"Poultry, Meat, Turkey",2002,US,Production,(MT),2557000.0
154,"Poultry, Meat, Turkey",2003,US,Production,(MT),2529000.0
155,"Poultry, Meat, Turkey",2004,US,Production,(MT),2441000.0
156,"Poultry, Meat, Turkey",2005,US,Production,(MT),2464000.0
157,"Poultry, Meat, Turkey",2006,US,Production,(MT),2545000.0
158,"Poultry, Meat, Turkey",2007,US,Production,(MT),2667000.0
159,"Poultry, Meat, Turkey",2008,US,Production,(MT),2801000.0
160,"Poultry, Meat, Turkey",2009,US,Production,(MT),2733000.0
161,"Poultry, Meat, Turkey",2010,US,Production,(MT),2607000.0
162,"Poultry, Meat, Turkey",2011,US,Production,(MT),2593000.0
163,"Poultry, Meat, Turkey",2012,US,Production,(MT),2675000.0
